,OBJECTID,Region,Division,ID,School,Municipali,Legislativ,Total_Enro,Total_Inst,Color_Code,Barangay,Province,District,Type_of_Sc,Rooms_used,Rooms_unused
15703,15704,Region III,Pampanga,300921,"San Juan NHS, Mexico",MEXICO,3rd,2226,24,Red,San Juan,PAMPANGA,Mexico North,School with no Annexes,19.0,0.0
15704,15705,Region III,Pampanga,300901,Mexico NHS,MEXICO,3rd,831,17,Yellow,Balas,PAMPANGA,Mexico North,School with no Annexes,18.0,0.0
15705,15706,Region III,Pampanga,106192,San Jose Matulid ES,MEXICO,3rd,508,13,Blue,San Jose Matulid,PAMPANGA,Mexico South,School with no Annexes,13.0,0.0
15706,15707,Region III,Pampanga,106182,Divisoria ES,MEXICO,3rd,294,8,Blue,Divisoria,PAMPANGA,Mexico South,School with no Annexes,7.0,0.0
15707,15708,Region III,Pampanga,106187,Mexico CS,MEXICO,3rd,1785,45,Blue,Sto. Cristo,PAMPANGA,Mexico South,School with no Annexes,41.0,0.0
15708,15709,Region III,Pampanga,106193,San Lorenzo ES,MEXICO,3rd,501,16,Blue,San Lorenzo,PAMPANGA,Mexico South,School with no Annexes,14.0,0.0
15709,15710,Region III,Pampanga,106206,San Isidro ES,MINALIN,4th,511,12,Blue,San Isidro,PAMPANGA,Minalin,School with no Annexes,14.0,0.0
15710,15711,Region III,Pampanga,106208,Saplad ES,MINALIN,4th,151,6,Blue,Saplad,PAMPANGA,Minalin,School with no Annexes,6.0,0.0
15711,15712,Region III,Pampanga,106202,Lourdes ES,MINALIN,4th,951,27,Blue,Lourdes,PAMPANGA,Minalin,School with no Annexes,25.0,0.0
15712,15713,Region III,Pampanga,106203,Maniango ES,MINALIN,4th,211,7,Blue,Maniago,PAMPANGA,Minalin,School with no Annexes,6.0,0.0
15713,15714,Region III,Pampanga,106211,Sto. Domingo ES,MINALIN,4th,901,21,Blue,Sto. Domingo,PAMPANGA,Minalin,School with no Annexes,22.0,0.0
15714,15715,Region III,Pampanga,106221,Manibaug Libutad ES,PORAC,2nd,639,15,Blue,Manibaug,PAMPANGA,Porac East,School with no Annexes,16.0,0.0
15715,15716,Region III,Pampanga,106217,Dolores ES,PORAC,2nd,720,17,Blue,Hacienda Dolores,PAMPANGA,Porac East,School with no Annexes,17.0,0.0
15716,15717,Region III,Pampanga,300911,Eastern Porac NHS (Pulong Santol NHS - Porac HS - Sta. Cruz Annex 2),PORAC,2nd,1131,18,Red,Manibaug Libutad,PAMPANGA,Porac East,Annex or Extension school(s),18.0,0.0
15717,15718,Region III,Pampanga,106232,Salu ES,PORAC,2nd,134,6,Blue,Salu,PAMPANGA,Porac West,School with no Annexes,6.0,0.0
15718,15719,Region III,Pampanga,106228,Pio ES,PORAC,2nd,588,15,Blue,Pio,PAMPANGA,Porac West,School with no Annexes,16.0,0.0
15719,15720,Region III,Pampanga,106230,Porac ES,PORAC,1st,591,15,Blue,Poblacion,PAMPANGA,Porac West,School with no Annexes,15.0,0.0
15720,15721,Region III,Pampanga,106225,Palat ES,PORAC,2nd,400,16,Blue,Palat,PAMPANGA,Porac West,School with no Annexes,12.0,0.0
15721,15722,Region III,Pampanga,106234,Sepung Bulaun ES,PORAC,2nd,443,11,Blue,Sepung Bulaon,PAMPANGA,Porac West,School with no Annexes,12.0,0.0
15722,15723,Region III,Pampanga,106229,Planas ES,PORAC,2nd,520,12,Blue,Planas,PAMPANGA,Porac West,School with no Annexes,13.0,0.0
15723,15724,Region III,Pampanga,106231,Pulung Santol ES,PORAC,2nd,1050,25,Blue,Pulung Santol,PAMPANGA,Porac West,School with no Annexes,28.0,0.0
15724,15725,Region III,Pampanga,106242,San Jose ES,SAN LUIS,4th,403,14,Blue,San Jose,PAMPANGA,San Luis,School with no Annexes,12.0,7.0
15725,15726,Region III,Pampanga,106241,San Isidro ES,SAN LUIS,4th,534,14,Blue,San Isidro,PAMPANGA,San Luis,School with no Annexes,13.0,0.0
15726,15727,Region III,Pampanga,106243,San Jose Proper ES,SAN LUIS,4th,235,7,Blue,San Jose,PAMPANGA,San Luis,School with no Annexes,6.0,0.0
15727,15728,Region III,Pampanga,106245,San Luis CS,SAN LUIS,4th,944,26,Blue,Sta. Cruz Poblacion,PAMPANGA,San Luis,School with no Annexes,25.0,0.0
15728,15729,Region III,Pampanga,106251,Sta. Rita ES,SAN LUIS,4th,232,7,Blue,Sta. Rita,PAMPANGA,San Luis,School with no Annexes,6.0,0.0
15729,15730,Region III,Pampanga,106248,Sta. Catalina ES,SAN LUIS,4th,394,13,Blue,Sta. Catalina,PAMPANGA,San Luis,School with no Annexes,11.0,0.0
15730,15731,Region III,Pampanga,106244,San Juan ES,SAN LUIS,4th,792,19,Blue,San Juan,PAMPANGA,San Luis,School with no Annexes,20.0,0.0
15731,15732,Region III,Pampanga,106262,San Pedro ES,SAN SIMON,4th,862,26,Blue,San Pedro,PAMPANGA,San Simon,School with no Annexes,24.0,2.0
15732,15733,Region III,Pampanga,300927,Concepcion IS,SAN SIMON,4th,361,13,Blue,Conception,PAMPANGA,San Simon,School with no Annexes,8.0,0.0
15733,15734,Region III,Pampanga,300926,San Pedro NHS,SAN SIMON,4th,636,15,Blue,San Pedro,PAMPANGA,San Simon,Mother school,12.0,0.0
15734,15735,Region III,Pampanga,300887,Dela Paz Libutad NHS,SAN SIMON,4th,828,18,Yellow,Dela Paz,PAMPANGA,San Simon,Mother school,9.0,0.0
15735,15736,Region III,Pampanga,106271,San Pedro ES,SASMUAN (SEXMOAN),2nd,392,13,Blue,San Pedro,PAMPANGA,Sasmuan,School with no Annexes,13.0,0.0
15736,15737,Region III,Pampanga,106273,Sebitanan ES,SASMUAN (SEXMOAN),2nd,172,8,Blue,Sebitanan,PAMPANGA,Sasmuan,School with no Annexes,7.0,0.0
15737,15738,Region III,Pampanga,106267,Batang II ES,SASMUAN (SEXMOAN),2nd,192,7,Blue,Batang II,PAMPANGA,Sasmuan,School with no Annexes,6.0,0.0
15738,15739,Region III,Pampanga,106269,Malusac ES,SASMUAN (SEXMOAN),2nd,389,13,Blue,Malusac,PAMPANGA,Sasmuan,School with no Annexes,9.0,0.0
15739,15740,Region III,Pampanga,300919,San Isidro NHS (Sta. Ana),SANTA ANA,3rd,1681,20,Red,San Isidro,PAMPANGA,Sta. Ana,School with no Annexes,18.0,0.0
15740,15741,Region III,Pampanga,106284,Sta. Ana Elementary,SANTA ANA,3rd,1425,33,Blue,Sta. Lucia,PAMPANGA,Sta. Ana,School with no Annexes,30.0,0.0
15741,15742,Region III,Pampanga,106283,Santiago ES,SANTA ANA,3rd,656,16,Blue,Santiago,PAMPANGA,Sta. Ana,School with no Annexes,16.0,0.0
15742,15743,Region III,Pampanga,106291,San Basilio ES,SANTA RITA,2nd,1214,38,Blue,San Basilio,PAMPANGA,Sta. Rita,School with no Annexes,28.0,1.0
15743,15744,Region III,Pampanga,106302,Sapa ES,SANTO TOMAS,4th,390,12,Blue,Sapa,PAMPANGA,Sto. Tomas,School with no Annexes,11.0,0.0
15744,15745,Region III,San Fernando City,107176,San Nicolas IS,CITY OF SAN FERNANDO (Capital),3rd,1190,22,Gold,San Nicolas,PAMPANGA,San Fernando East,School with no Annexes,24.0,0.0
15745,15746,Region III,San Fernando City,107175,San Jose-Juliana ES,CITY OF SAN FERNANDO (Capital),3rd,287,8,Blue,Juliana,PAMPANGA,San Fernando East,School with no Annexes,9.0,0.0
15746,15747,Region III,San Fernando City,107168,Camp Olivas ES,CITY OF SAN FERNANDO (Capital),3rd,767,20,Blue,San Nicolas,PAMPANGA,San Fernando East,School with no Annexes,19.0,0.0
15747,15748,Region III,San Fernando City,107171,Pandaras ES,CITY OF SAN FERNANDO (Capital),3rd,201,6,Blue,Pandaras,PAMPANGA,San Fernando East,School with no Annexes,6.0,0.0
15748,15749,Region III,San Fernando City,301064,Pampanga NHS,CITY OF SAN FERNANDO (Capital),3rd,9197,169,Gold,Lourdes,PAMPANGA,San Fernando West,School with no Annexes,142.0,0.0
15749,15750,Region III,San Fernando City,107194,Mansgold ES,CITY OF SAN FERNANDO (Capital),3rd,237,7,Blue,Sta.Lucia,PAMPANGA,San Fernando West,School with no Annexes,7.0,1.0
15750,15751,Region III,San Fernando City,107195,San Fernando ES,CITY OF SAN FERNANDO (Capital),3rd,8031,97,Red,Sto. Rosario,PAMPANGA,San Fernando West,School with no Annexes,91.0,0.0
15751,15752,Region III,San Fernando City,107199,Sta. Lucia ES,CITY OF SAN FERNANDO (Capital),3rd,1182,30,Blue,Sta. Lucia,PAMPANGA,San Fernando West,School with no Annexes,30.0,0.0
15752,15753,Region III,San Jose City,105709,San Jose East CS,SAN JOSE CITY,2nd,902,29,Blue,Sibut,NUEVA ECIJA,San Jose City East,School with no Annexes,25.0,0.0
15753,15754,Region III,San Jose City,105712,Tayabo ES,SAN JOSE CITY,2nd,436,16,Blue,Tayabo,NUEVA ECIJA,San Jose City East,School with no Annexes,14.0,0.0
15754,15755,Region III,San Jose City,300800,Constancio Padilla National High School,SAN JOSE CITY,2nd,4716,93,Yellow,Calaocan,NUEVA ECIJA,San Jose City East,Mother school,89.0,0.0
15755,15756,Region III,San Jose City,105691,Bagong Sikat ES,SAN JOSE CITY,2nd,260,8,Blue,Bagong Sikat,NUEVA ECIJA,San Jose City East,School with no Annexes,8.0,0.0
15756,15757,Region III,San Jose City,105703,Palestina ES,SAN JOSE CITY,2nd,317,9,Blue,Palestina,NUEVA ECIJA,San Jose City East,School with no Annexes,6.0,0.0
15757,15758,Region III,San Jose City,105696,Culaylay ES,SAN JOSE CITY,2nd,210,6,Blue,Culaylay,NUEVA ECIJA,San Jose City East,School with no Annexes,6.0,0.0
15758,15759,Region III,San Jose City,105695,Calaocan ES,SAN JOSE CITY,2nd,355,15,Blue,Calacan,NUEVA ECIJA,San Jose City East,School with no Annexes,11.0,0.0
15759,15760,Region III,San Jose City,105711,Sto. Nino 1St ES,SAN JOSE CITY,2nd,563,17,Blue,Sto. Niño 1st,NUEVA ECIJA,San Jose City East,School with no Annexes,14.0,0.0
15760,15761,Region III,San Jose City,105706,Pinili ES,SAN JOSE CITY,2nd,350,10,Blue,Pinili,NUEVA ECIJA,San Jose City East,School with no Annexes,10.0,0.0
15761,15762,Region III,San Jose City,105698,Kaliwanagan ES,SAN JOSE CITY,2nd,392,13,Blue,Kaliwanagan,NUEVA ECIJA,San Jose City East,School with no Annexes,13.0,0.0
15762,15763,Region III,San Jose City,300868,Tondod NHS,SAN JOSE CITY,2nd,420,13,Blue,Tondod,NUEVA ECIJA,San Jose City East,School with no Annexes,11.0,0.0
15763,15764,Region III,San Jose City,105700,Malasin ES,SAN JOSE CITY,2nd,442,13,Blue,Malasin,NUEVA ECIJA,San Jose City East,School with no Annexes,12.0,0.0
15764,15765,Region III,San Jose City,105700,Malasin ES,SAN JOSE CITY,2nd,442,13,Blue,Malasin,NUEVA ECIJA,San Jose City East,School with no Annexes,12.0,0.0
15765,15766,Region III,San Jose City,300833,Porais NHS,SAN JOSE CITY,2nd,622,16,Blue,PORAIS,NUEVA ECIJA,San Jose City East,School with no Annexes,14.0,0.0
15766,15767,Region III,San Jose City,105707,Porais ES,SAN JOSE CITY,2nd,403,15,Blue,Porais,NUEVA ECIJA,San Jose City East,School with no Annexes,12.0,0.0
15767,15768,Region III,San Jose City,105697,Encarnacion Subd. ES,SAN JOSE CITY,2nd,359,12,Blue,"Zone 1, Sto. Niño 1st",NUEVA ECIJA,San Jose City East,School with no Annexes,12.0,1.0
15768,15769,Region III,San Jose City,105704,Parilla ES,SAN JOSE CITY,2nd,235,7,Blue,Villa Joson,NUEVA ECIJA,San Jose City East,School with no Annexes,8.0,0.0
15769,15770,Region III,San Jose City,105692,Balacat ES,SAN JOSE CITY,2nd,235,7,Blue,Villa Marina,NUEVA ECIJA,San Jose City East,School with no Annexes,8.0,0.0
15770,15771,Region III,San Jose City,105708,San Agustin ES,SAN JOSE CITY,2nd,243,9,Blue,San Agustin,NUEVA ECIJA,San Jose City East,School with no Annexes,8.0,0.0
15771,15772,Region III,San Jose City,105713,Tumana ES,SAN JOSE CITY,2nd,212,6,Blue,Palestna,NUEVA ECIJA,San Jose City East,School with no Annexes,7.0,0.0
15772,15773,Region III,San Jose City,105718,Caanawan ES,SAN JOSE CITY,2nd,417,13,Blue,Caanawan,NUEVA ECIJA,San Jose City West,School with no Annexes,13.0,0.0
15773,15774,Region III,San Jose City,105717,Abar 2nd ES,SAN JOSE CITY,2nd,527,16,Blue,Abar 2nd,NUEVA ECIJA,San Jose City West,School with no Annexes,15.0,0.0
15774,15775,Region III,San Jose City,105731,Sto. Tomas ES,SAN JOSE CITY,2nd,653,21,Blue,Sto. Tomas,NUEVA ECIJA,San Jose City West,School with no Annexes,18.0,2.0
15775,15776,Region III,San Jose City,105727,Saranay ES,SAN JOSE CITY,2nd,124,6,Blue,Sto. Niño 3rd,NUEVA ECIJA,San Jose City West,School with no Annexes,6.0,0.0
15776,15777,Region III,San Jose City,105734,Tulat ES,SAN JOSE CITY,2nd,128,6,Blue,Tulat,NUEVA ECIJA,San Jose City West,School with no Annexes,6.0,1.0
15777,15778,Region III,San Jose City,105729,Sto. Nino 2nd ES,SAN JOSE CITY,2nd,326,11,Blue,Sto. Niño 2nd,NUEVA ECIJA,San Jose City West,School with no Annexes,9.0,0.0
15778,15779,Region III,San Jose City,105725,San Jose West CS,SAN JOSE CITY,2nd,2022,55,Blue,Canuto Ramos,NUEVA ECIJA,San Jose City West,School with no Annexes,47.0,1.0
15779,15780,Region III,San Jose City,105722,Kumabol ES,SAN JOSE CITY,2nd,141,5,Blue,Caanawan,NUEVA ECIJA,San Jose City West,School with no Annexes,6.0,0.0
15780,15781,Region III,San Jose City,105720,Dizol ES,SAN JOSE CITY,2nd,105,3,Blue,Dizol,NUEVA ECIJA,San Jose City West,School with no Annexes,6.0,0.0
15781,15782,Region III,San Jose City,105733,Tondod ES,SAN JOSE CITY,2nd,459,16,Blue,Tondod,NUEVA ECIJA,San Jose City West,School with no Annexes,14.0,2.0
15782,15783,Region III,San Jose City,105724,Parang Mangga Elementary School,SAN JOSE CITY,2nd,124,6,Blue,Parang Mangga,NUEVA ECIJA,San Jose City West,School with no Annexes,6.0,0.0
15783,15784,Region III,San Jose City,105716,Abar 1st ES,SAN JOSE CITY,2nd,1267,32,Blue,Abar 1st,NUEVA ECIJA,San Jose City West,School with no Annexes,32.0,0.0
15784,15785,Region III,San Jose City,105732,Tabulac ES,SAN JOSE CITY,2nd,111,6,Blue,Tabulac,NUEVA ECIJA,San Jose City West,School with no Annexes,6.0,0.0
15785,15786,Region III,San Jose del Monte City,301061,San Jose del Monte Nat'l. Trade School,CITY OF SAN JOSE DEL MONTE,Lone,3221,43,Red,FatimaV,BULACAN,San Jose Del Monte East,School with no Annexes,27.0,0.0
15786,15787,Region III,San Jose del Monte City,301062,Sapang Palay National NHS,CITY OF SAN JOSE DEL MONTE,Lone,5529,105,Gold,Area E,BULACAN,San Jose Del Monte East,School with no Annexes,91.0,0.0
15787,15788,Region III,San Jose del Monte City,107145,Bagong Buhay F ES,CITY OF SAN JOSE DEL MONTE,Lone,1598,29,Gold,San Pedro,BULACAN,San Jose Del Monte East,School with no Annexes,27.0,0.0
15788,15789,Region III,San Jose del Monte City,307501,Muzon HS,CITY OF SAN JOSE DEL MONTE,Lone,3639,26,Red,Muzon,BULACAN,San Jose Del Monte East,School with no Annexes,22.0,0.0
15789,15790,Region III,San Jose del Monte City,107144,Bagong Buhay E ES,CITY OF SAN JOSE DEL MONTE,Lone,2536,39,Red,Fatima III,BULACAN,San Jose Del Monte East,School with no Annexes,40.0,0.0
15790,15791,Region III,San Jose del Monte City,107143,Bagong Buhay B ES,CITY OF SAN JOSE DEL MONTE,Lone,2605,48,Gold,Bagong Buhay B-I,BULACAN,San Jose Del Monte East,School with no Annexes,52.0,0.0
15791,15792,Region III,San Jose del Monte City,107161,San Jose Del Monte Cs,CITY OF SAN JOSE DEL MONTE,Lone,1681,34,Yellow,Poblacion,BULACAN,San Jose Del Monte West,School with no Annexes,29.0,0.0
15792,15793,Region III,San Jose del Monte City,107158,Muzon (Pabahay 2000) ES,CITY OF SAN JOSE DEL MONTE,Lone,5497,59,Red,Muzon,BULACAN,San Jose Del Monte West,School with no Annexes,57.0,0.0
15793,15794,Region III,San Jose del Monte City,107160,S. Palay Proper ES,CITY OF SAN JOSE DEL MONTE,Lone,806,21,Blue,Sapang Palay Proper,BULACAN,San Jose Del Monte West,School with no Annexes,21.0,1.0
15794,15795,Region III,San Jose del Monte City,107155,Gaya-Gaya ES,CITY OF SAN JOSE DEL MONTE,Lone,1714,22,Red,Gaya-Gaya,BULACAN,San Jose Del Monte West,School with no Annexes,25.0,0.0
15795,15796,Region III,San Jose del Monte City,162504,San Manuel ES,CITY OF SAN JOSE DEL MONTE,Lone,356,7,Yellow,San Manuel,BULACAN,San Jose Del Monte West,School with no Annexes,9.0,0.0
15796,15797,Region III,Tarlac,106319,Mainang Resett ES,BAMBAN,3rd,452,10,Blue,SAN NICOLAS,TARLAC,Bamban,School with no Annexes,9.0,0.0
15797,15798,Region III,Tarlac,300962,Dapdap HS,BAMBAN,3rd,2265,37,Red,SAN NICOLAS DAPDAP,TARLAC,Bamban,School with no Annexes,36.0,0.0
15798,15799,Region III,Tarlac,300990,San Roque NHS,BAMBAN,3rd,2288,32,Red,DELA CRUZ,TARLAC,Bamban,School with no Annexes,43.0,0.0
15799,15800,Region III,Tarlac,106317,Lourdes ES (Dapdap),BAMBAN,3rd,484,17,Blue,DAPDAP,TARLAC,Bamban,School with no Annexes,14.0,0.0
15800,15801,Region III,Tarlac,106335,Surgui Elementary,CAMILING,1st,373,10,Blue,SURGUI 2ND,TARLAC,Camiling Central,School with no Annexes,8.0,0.0
15801,15802,Region III,Tarlac,106337,Tuec ES,CAMILING,1st,174,8,Blue,TUEC,TARLAC,Camiling Central,School with no Annexes,7.0,0.0
15802,15803,Region III,Tarlac,106332,Pindangan 2nd ES,CAMILING,1st,254,8,Blue,PINDANGAN 2ND,TARLAC,Camiling Central,School with no Annexes,8.0,0.0
15803,15804,Region III,Tarlac,106329,Camiling CS,CAMILING,1st,1443,42,Blue,POBLACION H,TARLAC,Camiling Central,School with no Annexes,31.0,0.0
15804,15805,Region III,Tarlac,106346,Malacampa ES,CAMILING,1st,593,19,Blue,MALACAMPA,TARLAC,Camiling East,Mother school,14.0,0.0
15805,15806,Region III,Tarlac,106353,Sta. Maria ES,CAMILING,1st,224,9,Blue,STA. MARIA,TARLAC,Camiling East,School with no Annexes,7.0,0.0
15806,15807,Region III,Tarlac,106339,Bilad ES,CAMILING,1st,229,8,Blue,BILad,TARLAC,Camiling East,Mother school,6.0,0.0
15807,15808,Region III,Tarlac,106341,Camiling East CES,CAMILING,1st,413,14,Blue,CACAMILINGAN NORTE,TARLAC,Camiling East,School with no Annexes,16.0,0.0
15808,15809,Region III,Tarlac,106360,Camiling West CS,CAMILING,1st,733,24,Blue,PALIMBO CAAROSIPAN,TARLAC,Camiling West,School with no Annexes,21.0,0.0
15809,15810,Region III,Tarlac,106357,Birbira ES,CAMILING,1st,171,8,Blue,BIRBIRA,TARLAC,Camiling West,School with no Annexes,7.0,0.0
15810,15811,Region III,Tarlac,106362,Libueg ES,CAMILING,1st,241,13,Blue,LIBUEG,TARLAC,Camiling West,School with no Annexes,10.0,0.0
15811,15812,Region III,Tarlac,106366,Sinulatan ES,CAMILING,1st,175,8,Blue,SINULATAN 1ST,TARLAC,Camiling West,School with no Annexes,6.0,0.0
15812,15813,Region III,Tarlac,106376,Sta. Rita ES,CAPAS,3rd,266,8,Blue,STA. RITA,TARLAC,Capas East,School with no Annexes,7.0,0.0
15813,15814,Region III,Tarlac,106378,Talaga ES,CAPAS,3rd,469,14,Blue,TALAGA,TARLAC,Capas East,School with no Annexes,14.0,0.0
15814,15815,Region III,Tarlac,106375,Manga ES,CAPAS,3rd,286,6,Yellow,MANGA,TARLAC,Capas East,School with no Annexes,7.0,0.0
15815,15816,Region III,Tarlac,106369,Calangitan ES,CAPAS,3rd,460,11,Blue,CUTCUT 2ND,TARLAC,Capas East,School with no Annexes,10.0,0.0
15816,15817,Region III,Tarlac,300994,Capas High School,CAPAS,3rd,4466,51,Red,DOLORES,TARLAC,Capas East,School with no Annexes,38.0,12.0
15817,15818,Region III,Tarlac,106371,Capas Gabaldon ES,CAPAS,3rd,1385,27,Gold,CUBCUB,TARLAC,Capas East,School with no Annexes,23.0,0.0
15818,15819,Region III,Tarlac,106372,Cutcut ES,CAPAS,3rd,643,19,Blue,CUTCUT 1ST,TARLAC,Capas East,School with no Annexes,14.0,0.0
15819,15820,Region III,Tarlac,106373,Dolores ES,CAPAS,3rd,747,18,Blue,DOLORES,TARLAC,Capas East,School with no Annexes,18.0,0.0
15820,15821,Region III,Tarlac,300968,Lawy NHS,CAPAS,3rd,494,13,Blue,LAWY,TARLAC,Capas West,School with no Annexes,11.0,0.0
15821,15822,Region III,Tarlac,300993,Sta. Lucia NHS,CAPAS,3rd,503,12,Blue,STA. LUCIA,TARLAC,Capas West,School with no Annexes,9.0,0.0
15822,15823,Region III,Tarlac,106390,Sta. Lucia ES,CAPAS,3rd,1103,25,Blue,STA. LUCIA,TARLAC,Capas West,School with no Annexes,25.0,0.0
15823,15824,Region III,Tarlac,106380,Aranguren IS,CAPAS,3rd,731,23,Blue,ARANGUREN,TARLAC,Capas West,School with no Annexes,19.0,1.0
15824,15825,Region III,Tarlac,106384,Lawy ES,CAPAS,3rd,829,20,Blue,LAWY,TARLAC,Capas West,School with no Annexes,20.0,0.0
15825,15826,Region III,Tarlac,300977,O'Donnel NHS,CAPAS,3rd,1222,20,Red,O'DONNELL,TARLAC,Capas West,Mother school,18.0,0.0
15826,15827,Region III,Tarlac,106386,Manlapig ES,CAPAS,3rd,190,6,Blue,MANLAPIG,TARLAC,Capas West,School with no Annexes,6.0,0.0
15827,15828,Region III,Tarlac,300957,Caluluan NHS,CONCEPCION,3rd,1558,24,Red,CALULUAN,TARLAC,Concepcion East,Mother school,25.0,0.0
15828,15829,Region III,Tarlac,106401,Parulung ES,CONCEPCION,3rd,267,7,Blue,PARULUNG,TARLAC,Concepcion East,School with no Annexes,7.0,0.0
15829,15830,Region III,Tarlac,106403,Sta. Monica ES,CONCEPCION,3rd,833,19,Blue,STA. MONICA,TARLAC,Concepcion East,School with no Annexes,21.0,0.0
15830,15831,Region III,Tarlac,106452,Magaspac ES,GERONA,2nd,485,18,Blue,MAGASPAC,TARLAC,Gerona North,School with no Annexes,16.0,1.0
15831,15832,Region III,Tarlac,106454,Plastado ES,GERONA,2nd,143,7,Blue,PLASTADO,TARLAC,Gerona North,School with no Annexes,6.0,0.0
15832,15833,Region III,Tarlac,106444,Apsayan ES,GERONA,2nd,230,10,Blue,APSAYAN,TARLAC,Gerona North,School with no Annexes,8.0,0.0
15833,15834,Region III,Tarlac,300954,Buenlag NHS,GERONA,2nd,401,9,Blue,BUENLAG,TARLAC,Gerona North,School with no Annexes,11.0,0.0
15834,15835,Region III,Tarlac,106451,Gerona North CS,GERONA,2nd,1071,29,Blue,POBLACION 3,TARLAC,Gerona North,School with no Annexes,27.0,0.0
15835,15836,Region III,Tarlac,106445,Buenlag ES,GERONA,2nd,279,10,Blue,BUENLAG,TARLAC,Gerona North,School with no Annexes,10.0,0.0
15836,15837,Region III,Tarlac,106473,Matayungcab ES,GERONA,2nd,164,8,Blue,MATAYUNCAB,TARLAC,Gerona South,School with no Annexes,6.0,0.0
15837,15838,Region III,Tarlac,300959,Cardona NHS,GERONA,2nd,325,10,Blue,CARDONA,TARLAC,Gerona South,School with no Annexes,8.0,0.0
15838,15839,Region III,Tarlac,106462,Amacalan ES,GERONA,2nd,420,15,Blue,AMACALAN,TARLAC,Gerona South,School with no Annexes,12.0,0.0
15839,15840,Region III,Tarlac,106465,Bularit ES,GERONA,2nd,301,12,Blue,BULARIT,TARLAC,Gerona South,School with no Annexes,9.0,0.0
15840,15841,Region III,Tarlac,106467,Cardona ES,GERONA,2nd,281,16,Blue,CARDONA,TARLAC,Gerona South,School with no Annexes,14.0,0.0
15841,15842,Region III,Tarlac,300967,La Paz NHS,LA PAZ,3rd,1057,21,Yellow,SAN ROQUE,TARLAC,La Paz North,School with no Annexes,18.0,0.0
15842,15843,Region III,Tarlac,300961,Comillas NHS,LA PAZ,3rd,576,14,Blue,COMILLAS,TARLAC,La Paz South,School with no Annexes,12.0,0.0
15843,15844,Region III,Tarlac,106498,Caut ES,LA PAZ,3rd,328,11,Blue,CAUT,TARLAC,La Paz South,School with no Annexes,9.0,0.0
15844,15845,Region III,Tarlac,106505,San Isidro Central ES,LA PAZ,3rd,622,22,Blue,SAN ISIDRO,TARLAC,La Paz South,School with no Annexes,18.0,0.0
15845,15846,Region III,Tarlac,106497,Caramutan ES,LA PAZ,3rd,537,15,Blue,CARAMUTAN,TARLAC,La Paz South,School with no Annexes,13.0,0.0
15846,15847,Region III,Tarlac,106499,Comillas ES,LA PAZ,3rd,619,21,Blue,COMILLAS,TARLAC,La Paz South,School with no Annexes,21.0,0.0
15847,15848,Region III,Tarlac,106500,Dumarais ES,LA PAZ,3rd,534,16,Blue,DUMARAIS,TARLAC,La Paz South,School with no Annexes,13.0,0.0
15848,15849,Region III,Tarlac,106523,San Bartolome ES,MAYANTOC,1st,240,13,Blue,SAN BARTOLOME,TARLAC,Mayantoc,School with no Annexes,9.0,0.0
15849,15850,Region III,Tarlac,106508,Bigbiga ES,MAYANTOC,1st,201,6,Blue,BIGBIGA,TARLAC,Mayantoc,School with no Annexes,6.0,0.0
15850,15851,Region III,Tarlac,106520,Pedro L. Quines ES,MAYANTOC,1st,262,7,Blue,PEDRO  L.  QUINES,TARLAC,Mayantoc,School with no Annexes,6.0,0.0
15851,15852,Region III,Tarlac,106517,Mayantoc CS,MAYANTOC,1st,897,25,Blue,POBLACION NORTE,TARLAC,Mayantoc,School with no Annexes,22.0,0.0
15852,15853,Region III,Tarlac,106514,Mamonit ES,MAYANTOC,1st,215,9,Blue,MAMONIT  ES,TARLAC,Mayantoc,School with no Annexes,6.0,0.0
15853,15854,Region III,Tarlac,106524,San Jose ES,MAYANTOC,1st,173,7,Blue,SAN JOSE,TARLAC,Mayantoc,School with no Annexes,6.0,0.0
15854,15855,Region III,Tarlac,106521,Pitombayog ES,MAYANTOC,1st,216,7,Blue,PITOMBAYOG,TARLAC,Mayantoc,School with no Annexes,6.0,0.0
15855,15856,Region III,Tarlac,106513,Labney ES,MAYANTOC,1st,156,6,Blue,LABNEY,TARLAC,Mayantoc,School with no Annexes,6.0,0.0
15856,15857,Region III,Tarlac,106515,Maniniog PS,MAYANTOC,1st,82,3,Blue,MANINIOG,TARLAC,Mayantoc,School with no Annexes,3.0,0.0
15857,15858,Region III,Tarlac,106518,Melecio Manganaan ES,MAYANTOC,1st,201,7,Blue,MELECIO MANGANAAN,TARLAC,Mayantoc,School with no Annexes,6.0,0.0
15858,15859,Region III,Tarlac,300980,Pitombayog NHS,MAYANTOC,1st,427,16,Blue,PITOMBAYOG,TARLAC,Mayantoc,School with no Annexes,12.0,0.0
15859,15860,Region III,Tarlac,106516,Mapandan ES,MAYANTOC,1st,167,6,Blue,MAPANDAN,TARLAC,Mayantoc,School with no Annexes,7.0,0.0
15860,15861,Region III,Tarlac,106536,San Roque PS,MONCADA,1st,122,4,Blue,SAN ROQUE,TARLAC,Moncada North,School with no Annexes,4.0,0.0
15861,15862,Region III,Tarlac,106537,Sta. Monica ES,MONCADA,1st,242,7,Blue,STA. MONICA,TARLAC,Moncada North,School with no Annexes,7.0,0.0
